Team,Conference,3P%,3P%.Rank,2P%,2P%.Rank,FT%,FT%.Rank,Blk%,Blk%.Rank,Stl%,Stl%.Rank,NST%,NST%.Rank,A%,A%.Rank,3PA%,3PA%.Rank,AdjOE,AdjOE.Rank
Seattle,WAC,33.2,203,47.1,276,76.8,23,10.2,280,7.9,44,8.3,102,51.8,154,45.6,29,100.0,238
Western Michigan,MAC,33.2,204,48.9,210,70.0,234,13.0,350,10.7,307,9.6,240,43.8,316,45.7,24,96.9,287
Seton Hall,BE,33.2,205,45.8,317,75.2,62,11.0,315,9.3,183,8.3,101,40.3,352,35.7,230,107.1,94
Louisiana Monroe,SB,33.2,206,50.5,142,71.7,172,10.7,307,11.1,330,7.9,62,56.1,57,35.4,237,101.1,212
Monmouth,MAAC,33.1,207,46.3,306,72.8,139,8.6,139,8.0,51,9.3,195,49.6,206,34.0,267,102.5,186
Holy Cross,Pat,33.1,208,43.2,350,71.2,186,8.7,148,8.9,122,9.4,207,41.5,341,28.8,345,91.2,348
Florida St.,ACC,33.1,209,48.7,217,70.8,204,7.8,84,8.5,87,9.6,228,55.7,67,34.1,264,105.2,132
Bowling Green,MAC,33.1,210,48.0,243,74.2,97,6.6,20,8.4,76,8.1,80,43.5,324,36.9,198,102.9,180
Drake,MVC,33.1,211,52.3,76,76.0,37,7.7,79,8.1,52,7.8,56,42.9,331,33.9,272,108.9,69
American,Pat,33.1,212,49.6,184,69.4,262,8.2,113,10.3,275,10.0,271,49.9,196,28.0,349,94.4,324
Texas,B12,33.0,213,50.4,147,74.6,84,9.2,209,8.9,126,8.9,162,54.1,89,36.1,215,112.4,27
Elon,CAA,33.0,214,48.6,224,72.9,136,10.5,296,11.2,336,8.7,139,50.6,176,43.9,42,99.9,241
Nevada,MWC,33.0,215,51.3,113,74.9,75,7.2,48,8.3,72,10.1,278,56.3,52,36.3,206,106.7,105
Texas A&M,SEC,33.0,216,49.9,172,70.7,207,12.7,349,10.7,311,8.5,117,52.9,126,34.5,253,109.3,64
Alabama St.,SWAC,33.0,217,46.8,291,70.5,212,10.3,285,10.6,302,11.0,337,49.2,216,33.1,287,97.2,282
Gardner Webb,BSth,33.0,218,50.3,154,69.9,236,9.5,232,9.4,190,10.6,318,52.0,151,39.5,129,96.6,294
Campbell,BSth,33.0,219,52.4,74,67.3,315,9.4,224,9.5,199,6.9,19,55.7,64,37.9,173,100.8,217
Western Illinois,Sum,33.0,220,49.8,177,71.5,181,8.3,117,7.4,16,8.5,121,41.0,346,41.2,100,100.4,228
Wyoming,MWC,32.9,221,54.4,31,72.3,156,8.5,137,7.7,33,9.3,199,43.4,326,41.8,89,109.2,65
Richmond,A10,32.9,222,52.3,75,71.8,170,9.3,222,7.9,41,6.5,11,57.4,41,41.7,92,108.2,79
Robert Morris,Horz,32.9,223,51.6,104,76.1,36,9.3,217,10.6,300,10.2,286,48.2,248,31.8,305,98.5,261
Tennessee Tech,OVC,32.9,224,49.2,202,66.1,335,8.0,94,9.6,218,9.5,219,55.4,73,32.4,297,99.9,242
UNC Wilmington,CAA,32.9,225,47.5,265,73.5,113,7.4,53,6.4,3,8.5,115,41.7,339,36.2,212,104.4,149
Valparaiso,MVC,32.9,225,52.1,83,76.7,25,9.0,188,8.6,93,7.9,68,46.0,286,37.6,184,102.8,181
St. Bonaventure,A10,32.8,227,50.9,126,75.0,71,6.9,32,7.8,38,7.9,66,51.6,158,31.4,315,108.7,74
Lafayette,Pat,32.8,228,51.9,95,68.3,293,7.6,74,8.4,75,8.1,81,64.5,3,45.6,26,97.1,283
Belmont,OVC,32.8,229,60.7,2,73.7,107,10.5,295,9.4,189,7.4,38,61.8,10,43.4,49,108.5,76
West Virginia,B12,32.8,230,45.7,319,72.4,155,7.5,69,10.1,262,8.1,78,44.4,312,33.7,275,108.2,77
Mississippi,SEC,32.6,231,49.9,169,71.1,190,9.2,202,10.1,270,7.9,65,53.2,116,37.3,190,105.7,124
Yale,Ivy,32.6,232,50.1,157,73.3,119,9.5,236,10.4,285,8.0,73,47.0,272,36.0,221,100.8,218
Evansville,MVC,32.6,233,45.2,330,71.5,178,8.8,162,8.1,60,9.0,175,49.9,199,47.1,13,92.7,339
NJIT,AE,32.6,234,45.1,334,66.7,327,9.2,206,9.9,246,8.8,159,45.0,298,35.8,224,89.4,354
Maryland,B10,32.6,235,49.7,182,75.9,42,9.2,214,8.3,66,8.6,137,47.1,271,37.2,194,109.5,61
Harvard,Ivy,32.6,236,50.0,162,67.3,317,9.4,223,8.9,124,8.6,125,42.3,336,42.1,81,97.8,272
Cleveland St.,Horz,32.6,237,55.3,19,67.3,314,10.0,265,11.1,329,8.6,122,60.4,15,33.6,277,103.4,172
Kent St.,MAC,32.5,238,50.5,140,74.6,85,7.5,65,9.8,241,8.6,134,49.0,220,39.6,126,101.6,199
Fresno St.,MWC,32.5,239,51.1,119,72.7,145,6.8,27,8.6,91,9.2,190,50.6,177,38.7,150,104.9,139
Illinois Chicago,Horz,32.4,240,53.3,50,70.8,205,6.5,15,9.6,221,7.6,46,54.2,88,46.1,19,99.5,247
Georgia St.,SB,32.4,241,42.5,354,72.0,163,9.3,220,8.8,117,7.8,55,52.5,140,36.3,208,101.6,201
North Florida,ASun,32.4,242,47.7,256,73.1,131,11.0,313,12.2,355,9.4,211,51.9,153,49.3,8,97.2,281
Fairleigh Dickinson,NEC,32.4,243,45.2,332,70.8,201,10.4,294,9.0,135,10.4,297,48.6,237,35.4,238,94.8,319
Navy,Pat,32.3,244,47.0,283,65.6,339,9.1,199,10.8,316,9.1,179,49.8,202,31.3,318,95.3,311
Albany,AE,32.3,245,45.2,333,70.4,216,11.5,334,8.0,45,10.7,329,40.9,348,32.3,300,92.2,341
UC Davis,BW,32.3,246,48.7,218,71.6,174,6.0,4,8.3,71,9.6,233,43.9,315,31.5,310,98.1,267
Virginia,ACC,32.3,247,50.3,153,73.0,132,9.8,248,9.1,146,7.0,28,60.3,16,29.9,340,107.5,88
UC Riverside,BW,32.3,248,52.2,80,72.9,135,7.9,91,7.8,36,10.6,314,53.6,104,40.0,121,100.5,224
Troy,SB,32.3,249,47.1,277,73.1,130,11.3,326,11.6,346,10.5,306,56.9,46,40.2,115,98.8,257
Delaware St.,MEAC,32.2,250,43.4,348,67.4,310,9.9,259,11.9,350,13.8,357,41.3,342,32.8,291,86.2,356
Abilene Christian,WAC,32.2,251,48.4,229,74.9,74,10.4,289,7.5,25,10.1,281,57.0,44,36.3,207,104.2,156
Texas Tech,B12,32.2,252,55.0,22,70.0,233,7.1,43,10.0,259,10.0,269,52.7,134,34.2,261,110.3,46
Loyola MD,Pat,32.1,253,51.7,99,69.1,272,8.2,108,9.7,230,8.5,118,58.9,25,38.2,164,96.4,298
Georgia,SEC,32.1,254,51.3,111,74.7,78,14.7,358,11.2,335,9.5,223,58.2,34,37.0,196,106.6,107
UC Irvine,BW,32.1,255,47.4,269,78.0,13,7.0,37,9.3,172,11.3,343,43.8,317,28.6,346,99.6,246
San Diego,WCC,32.1,256,46.2,311,71.2,189,7.2,49,8.8,116,9.7,246,39.1,355,27.6,352,96.6,295
Nicholls St.,Slnd,32.1,257,54.5,29,61.8,357,6.6,18,7.8,37,9.5,222,43.1,329,37.7,180,100.9,214
High Point,BSth,32.0,258,49.4,193,64.2,350,9.5,230,9.3,170,10.2,291,48.2,247,34.2,260,98.4,262
Indiana St.,MVC,32.0,259,52.8,60,77.8,15,11.0,312,9.3,163,9.9,264,52.8,131,46.0,21,98.3,264
La Salle,A10,32.0,260,47.6,259,68.7,280,8.1,99,9.5,197,9.1,182,53.8,97,39.9,122,98.9,255
Xavier,BE,32.0,261,51.9,92,70.2,225,9.2,212,9.7,235,6.9,21,56.1,58,35.7,229,110.1,52
Northeastern,CAA,32.0,262,51.6,105,73.4,115,7.1,44,11.1,331,10.1,277,49.5,208,40.5,109,97.0,286
Nebraska,B10,32.0,263,51.8,96,73.1,126,10.2,281,9.7,227,7.5,43,49.0,221,37.4,188,105.9,117
Milwaukee,Horz,31.9,264,47.5,262,71.5,177,8.5,133,9.8,236,9.8,260,48.1,251,34.7,249,91.8,346
Iowa St.,B12,31.9,265,50.3,152,68.4,290,11.3,328,10.6,301,9.7,241,60.3,17,37.9,174,103.9,160
Stephen F. Austin,WAC,31.9,266,52.8,61,67.6,306,9.0,183,9.7,224,12.7,353,53.4,109,30.9,323,102.4,189
Army,Pat,31.9,267,49.3,196,64.0,351,10.7,306,10.8,317,8.1,85,47.1,270,34.6,252,96.5,296
Oregon St.,P12,31.9,268,49.8,175,70.9,196,7.5,67,9.8,238,8.4,113,47.3,266,30.8,326,105.6,126
Arkansas St.,SB,31.9,269,50.0,162,74.5,87,8.9,175,10.6,298,10.1,276,60.5,14,31.5,312,100.0,236
Auburn,SEC,31.8,270,51.3,112,73.1,127,10.0,271,10.4,283,6.4,8,53.0,124,39.8,124,112.5,26
Northern Illinois,MAC,31.8,271,46.9,286,67.5,308,12.7,347,9.3,185,10.5,311,48.8,228,33.4,282,92.8,337
Eastern Illinois,OVC,31.8,272,42.3,355,63.8,353,13.3,353,13.0,358,11.2,342,58.1,35,36.2,212,83.2,357
Texas A&M Corpus Chris,Slnd,31.8,273,46.9,287,74.3,93,10.2,283,9.0,134,10.7,323,53.9,95,31.3,319,96.7,291
DePaul,BE,31.7,274,49.4,194,69.3,265,8.7,155,9.0,138,8.4,105,43.4,327,34.2,263,106.9,99
Brown,Ivy,31.7,275,50.6,132,69.5,250,7.4,60,9.3,168,9.8,259,46.6,280,38.9,144,100.3,230
Alcorn St.,SWAC,31.7,276,45.1,335,69.2,270,10.0,266,10.0,253,10.4,301,43.1,330,29.1,343,97.3,279
Rider,MAAC,31.6,277,44.9,337,73.6,109,9.0,191,8.7,109,8.7,140,50.5,180,27.9,350,99.2,251
LSU,SEC,31.6,278,50.4,145,73.1,128,8.9,182,10.1,267,10.6,319,49.0,222,34.8,247,107.1,93
St. Francis PA,NEC,31.5,279,46.7,293,64.5,348,8.9,178,9.9,245,8.2,92,50.1,192,31.3,316,95.1,314
North Carolina A&T,BSth,31.5,280,46.3,309,66.0,336,6.4,10,9.3,173,9.0,172,47.8,256,33.9,270,96.9,288
Cincinnati,Amer,31.4,281,46.7,296,67.2,321,9.6,240,8.3,68,6.9,20,52.9,128,42.2,78,104.5,144
Texas Southern,SWAC,31.4,282,48.6,219,67.9,302,6.1,5,11.5,345,9.9,263,42.7,333,30.9,324,97.7,276
Pittsburgh,ACC,31.4,283,46.5,304,69.6,248,9.1,194,10.3,276,10.9,336,52.1,149,33.6,276,99.7,244
Pacific,WCC,31.4,284,45.8,318,68.3,291,6.1,6,7.7,30,9.7,247,49.1,219,33.2,286,95.3,310
South Carolina,SEC,31.3,285,47.4,266,67.1,323,8.3,121,11.7,347,9.7,251,52.7,132,34.7,248,101.4,203
St. Francis NY,NEC,31.3,286,45.4,326,70.9,197,10.3,286,9.0,143,8.8,160,47.2,268,36.8,201,94.7,320
Western Carolina,SC,31.3,287,49.0,208,67.7,303,11.5,333,9.0,139,8.7,146,51.7,156,51.3,3,99.0,253
Washington,P12,31.2,288,46.2,312,70.1,230,9.5,234,7.4,20,9.3,205,41.0,347,32.9,290,104.2,153
Maryland Eastern Shore,MEAC,31.2,289,44.3,340,64.2,349,10.6,302,9.8,237,12.2,351,54.0,91,43.1,58,89.8,353
Wichita St.,Amer,31.2,290,46.7,298,75.3,60,11.2,323,9.7,232,8.9,166,51.1,169,41.4,95,104.0,158
Grambling St.,SWAC,31.1,291,43.8,346,71.4,182,11.4,329,9.7,234,10.2,289,45.2,296,28.1,348,93.8,331
William & Mary,CAA,31.1,292,45.5,321,70.0,231,14.4,357,12.9,356,10.2,292,50.4,183,39.1,141,90.2,352
Temple,Amer,31.1,293,44.7,339,67.9,300,9.9,262,9.6,215,9.0,169,52.7,133,38.2,163,102.2,195
North Carolina Central,MEAC,31.0,294,48.3,235,66.7,326,12.2,342,10.6,299,13.2,356,45.7,292,33.5,280,96.7,290
Chicago St.,WAC,31.0,295,45.3,328,65.5,341,10.9,310,9.6,217,12.5,352,43.7,320,43.7,44,95.6,308
Maine,AE,31.0,296,47.0,280,70.5,215,7.7,76,9.9,250,9.5,220,55.6,68,38.6,155,92.2,342
UT Arlington,SB,31.0,297,45.3,329,69.4,260,8.3,123,9.9,244,10.4,300,55.7,66,34.5,255,97.8,271
LIU,NEC,31.0,298,49.7,179,68.2,294,7.4,63,9.7,228,8.8,153,61.7,11,40.1,117,99.7,243
Boston College,ACC,30.9,299,48.5,226,70.4,217,10.1,275,10.1,268,7.8,54,50.4,187,32.4,298,104.4,150
Louisville,ACC,30.9,300,50.5,140,67.4,312,9.3,218,9.4,191,8.5,120,48.1,253,42.2,74,102.9,178
Tarleton St.,WAC,30.9,301,46.3,307,75.4,52,14.0,356,7.5,23,10.8,334,46.9,274,31.3,317,99.6,245
Southern Miss,CUSA,30.9,302,47.0,284,68.7,281,7.2,50,10.3,280,9.4,208,50.1,193,30.0,339,94.1,328
Alabama,SEC,30.9,303,55.9,12,72.8,141,11.2,322,10.6,303,9.2,185,53.1,118,47.6,12,115.0,16
Austin Peay,OVC,30.8,304,46.9,290,70.3,222,11.2,324,10.8,318,10.5,309,59.1,21,44.4,39,94.9,318
Creighton,BE,30.8,305,53.3,47,73.8,104,9.8,255,9.8,242,10.6,316,52.0,150,38.1,168,105.9,116
New Orleans,Slnd,30.8,306,50.4,146,74.0,102,8.3,126,9.5,201,9.8,257,44.7,303,22.2,358,97.0,284
California,P12,30.8,307,47.3,271,72.7,144,8.7,153,8.9,125,8.3,94,45.2,297,31.6,308,100.7,221
Arizona St.,P12,30.7,308,47.7,255,66.1,334,8.2,116,8.9,123,8.4,110,53.4,106,37.2,192,101.4,204
Eastern Michigan,MAC,30.7,309,49.3,195,69.9,237,9.7,245,9.5,209,9.7,243,40.6,349,35.4,239,93.8,330
Wisconsin,B10,30.6,310,48.7,215,74.3,92,8.8,170,7.0,6,6.0,2,44.8,302,36.0,219,109.4,63
McNeese St.,Slnd,30.6,311,49.9,168,65.4,344,7.9,88,11.3,337,10.8,332,42.3,335,33.4,281,97.8,273
South Carolina St.,MEAC,30.6,312,42.1,356,69.5,253,9.1,200,9.2,161,11.0,339,46.3,283,33.0,288,93.3,333
Mississippi Valley St.,SWAC,30.5,313,43.8,345,65.5,343,9.3,219,9.2,152,8.9,164,48.0,255,38.0,170,92.8,338
Arkansas,SEC,30.5,314,50.3,149,75.9,44,8.7,146,9.2,154,7.9,67,53.1,119,34.3,259,109.9,54
Houston Baptist,Slnd,30.5,315,50.5,137,71.5,180,9.0,187,11.0,325,9.7,253,47.7,258,35.7,232,95.2,312
Duquesne,A10,30.5,316,45.2,331,70.7,206,10.0,268,8.8,114,8.1,83,40.4,351,33.3,283,98.9,256
Florida,SEC,30.3,317,53.1,56,73.5,112,8.5,134,11.4,342,7.2,31,52.6,138,45.8,22,110.1,50
UT Rio Grande Valley,WAC,30.3,318,51.9,90,69.2,269,9.1,198,9.4,192,11.4,345,49.4,209,37.7,179,100.0,237
Bryant,NEC,30.3,319,52.8,59,73.2,122,12.5,345,10.0,256,9.0,173,49.5,207,43.4,51,103.9,161
UMass Lowell,AE,30.2,320,49.3,197,69.4,259,9.7,243,9.0,141,9.3,196,43.8,319,32.0,304,96.2,300
TCU,B12,30.2,321,50.3,155,67.4,311,8.6,140,10.6,297,10.8,335,53.8,98,31.7,306,108.6,75
Canisius,MAAC,30.2,322,45.5,322,69.6,247,12.1,341,7.6,29,9.3,204,53.3,112,39.1,142,97.4,278
Lamar,WAC,30.2,323,44.1,342,68.5,286,8.1,98,11.3,338,10.4,304,48.6,235,30.6,328,92.1,343
Cal St. Northridge,BW,30.2,324,44.0,343,68.5,287,6.8,29,7.9,43,10.7,322,39.5,354,29.6,342,94.1,326
Marshall,CUSA,30.1,325,52.1,82,70.9,198,6.7,24,10.5,289,7.6,48,50.4,188,39.1,140,101.3,206
Morgan St.,MEAC,30.0,326,46.6,301,67.2,318,10.1,272,10.5,290,10.7,330,52.4,145,31.2,320,94.5,322
Charleston Southern,BSth,30.0,327,47.1,278,67.7,304,9.8,246,11.1,328,10.4,298,48.3,246,45.7,25,92.3,340
Jackson St.,SWAC,30.0,328,45.5,323,63.4,354,8.8,163,10.0,255,9.9,265,46.8,275,30.4,332,93.4,332
Manhattan,MAAC,29.9,329,50.0,162,73.6,108,7.0,38,10.9,320,9.6,239,46.4,282,32.9,289,100.5,227
Radford,BSth,29.8,330,47.7,254,68.0,299,10.2,278,10.4,284,10.2,288,46.6,279,40.7,106,95.3,309
Arkansas Pine Bluff,SWAC,29.8,331,48.0,248,70.9,195,10.7,304,11.1,332,8.6,133,48.7,233,40.5,107,97.9,269
Florida A&M,SWAC,29.7,332,46.3,308,70.6,211,5.6,3,9.3,179,9.5,221,49.2,213,26.4,353,95.0,315
Butler,BE,29.7,333,48.9,210,68.9,278,13.9,355,8.6,96,9.6,231,47.3,265,41.8,91,102.5,187
Portland St.,BSky,29.7,334,48.4,228,74.2,95,8.2,106,8.1,54,8.9,165,41.1,344,34.0,269,95.8,304
Tennessee Martin,OVC,29.7,335,47.0,281,69.4,256,13.1,351,9.8,240,9.6,237,43.5,322,36.4,204,96.1,302
Fordham,A10,29.7,336,46.7,295,72.7,148,9.6,241,8.3,67,10.6,317,51.4,162,42.7,62,94.7,321
Oakland,Horz,29.7,337,52.5,71,78.8,10,9.4,229,8.9,133,9.1,181,51.2,166,41.8,87,103.0,176
Coppin St.,MEAC,29.7,338,47.6,261,68.4,288,9.8,251,9.2,162,10.2,290,49.4,210,49.9,4,92.0,344
Idaho St.,BSky,29.6,339,49.6,186,68.4,289,8.6,143,10.5,293,10.6,320,45.8,291,42.2,75,94.0,329
Dixie St.,WAC,29.5,340,47.8,251,66.7,327,11.1,319,11.3,339,9.7,254,60.1,19,37.3,189,95.7,305
Central Arkansas,ASun,29.5,341,50.3,156,75.4,55,8.7,151,10.5,294,8.3,99,50.8,174,35.2,240,98.7,258
Mississippi St.,SEC,29.5,342,51.7,100,72.1,161,8.1,103,10.5,295,9.1,178,52.9,129,28.1,347,109.6,56
Cal Poly,BW,29.5,343,47.2,274,73.1,124,7.8,80,9.4,196,13.1,355,50.8,173,35.5,235,93.2,334
Oklahoma St.,B12,29.5,344,49.8,176,66.7,327,8.6,144,11.7,348,9.7,256,50.4,185,31.4,313,103.8,163
SIU Edwardsville,OVC,29.4,345,48.1,242,69.4,255,9.8,250,11.2,334,10.3,295,50.2,189,34.9,244,94.1,327
Hampton,BSth,29.4,346,44.2,341,69.7,245,8.4,130,8.9,132,9.2,191,45.5,294,35.0,243,90.7,350
North Alabama,ASun,29.2,347,42.8,351,75.1,67,11.1,320,8.8,113,8.3,98,35.5,357,39.8,123,90.3,351
Georgia Southern,SB,29.2,348,50.1,158,67.1,322,8.5,138,11.0,327,10.3,293,48.2,249,36.3,210,96.2,301
IUPUI,Horz,29.2,349,41.6,357,67.4,313,9.5,237,12.1,353,14.0,358,53.6,103,34.6,250,79.4,358
Old Dominion,CUSA,29.0,350,48.1,238,67.2,320,6.6,17,8.5,89,9.9,262,49.7,205,26.2,354,101.1,213
UTSA,CUSA,28.7,351,43.9,344,68.6,283,9.5,233,9.5,200,8.1,89,44.4,311,33.9,271,94.4,323
Wagner,NEC,28.5,352,53.0,58,72.1,160,7.4,55,9.0,142,9.0,170,51.9,152,30.1,336,102.0,196
Cal St. Bakersfield,BW,28.3,353,44.9,336,71.3,183,5.4,2,8.7,110,9.3,197,39.7,353,22.9,357,97.7,275
Missouri,SEC,28.1,354,49.4,191,74.1,100,9.8,253,10.9,323,10.7,326,50.4,186,32.6,295,103.9,159
Green Bay,Horz,28.0,355,48.9,214,71.1,191,8.8,159,10.9,321,9.1,176,47.6,259,34.4,257,91.9,345
Alabama A&M,SWAC,27.1,356,41.5,358,71.3,185,6.6,19,10.8,319,8.7,149,43.4,325,24.9,356,87.4,355
Presbyterian,BSth,26.1,357,49.0,205,68.9,276,9.4,227,10.0,252,9.6,234,50.7,175,36.6,202,96.5,297
South Florida,Amer,25.2,358,42.8,352,66.6,332,9.3,215,8.6,92,10.5,308,50.6,178,30.6,329,91.0,349
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
