entryGroupKey,pickSetId,R64:210265,R64:210266,R64:210267,R64:210268,R64:210269,R64:210270,R64:210271,R64:210272,R64:210273,R64:210274,R64:210275,R64:210276,R64:210277,R64:210278,R64:210279,R64:210280,R64:210281,R64:210282,R64:210283,R64:210284,R64:210285,R64:210286,R64:210287,R64:210288,R64:210289,R64:210290,R64:210291,R64:210292,R64:210293,R64:210294,R64:210295,R64:210296,R32:210297,R32:210298,R32:210299,R32:210300,R32:210301,R32:210302,R32:210303,R32:210304,R32:210305,R32:210306,R32:210307,R32:210308,R32:210309,R32:210310,R32:210311,R32:210312,R16:210313,R16:210314,R16:210315,R16:210316,R16:210317,R16:210318,R16:210319,R16:210320,R8:210321,R8:210322,R8:210323,R8:210324,R4:210325,R4:210326,R2:210327
ed6b9ec9-7dcf-4f5b-b277-cfe76e968e67,13132,16:Siena:429903,9:TCU:429905,5:St. John's:429908,13:California Baptist:429909,6:Louisville:429912,14:North Dakota State:429913,7:UCLA:429916,2:UConn:429918,16:PV / LEH:429919,9:Iowa:429921,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,14:Penn:429929,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,9:Saint Louis:429937,12:Akron:429939,13:Hofstra:429941,6:Tennessee:429944,3:Virginia:429946,7:Kentucky:429948,2:Iowa State:429950,1:Arizona:429952,9:Utah State:429953,5:Wisconsin:429956,4:Arkansas:429958,6:BYU:429960,3:Gonzaga:429962,7:Miami (FL):429964,15:Queens University:429965,16:Siena:429903,5:St. John's:429908,14:North Dakota State:429913,7:UCLA:429916,16:PV / LEH:429919,5:Vanderbilt:429924,11:VCU:429927,2:Houston:429934,9:Saint Louis:429937,12:Akron:429939,3:Virginia:429946,2:Iowa State:429950,9:Utah State:429953,4:Arkansas:429958,3:Gonzaga:429962,7:Miami (FL):429964,16:Siena:429903,7:UCLA:429916,5:Vanderbilt:429924,11:VCU:429927,12:Akron:429939,2:Iowa State:429950,9:Utah State:429953,3:Gonzaga:429962,7:UCLA:429916,5:Vanderbilt:429924,12:Akron:429939,3:Gonzaga:429962,5:Vanderbilt:429924,3:Gonzaga:429962,3:Gonzaga:429962
high_seed_r64,13132,1:Duke:429904,8:Ohio State:429906,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,7:UCLA:429916,2:UConn:429918,1:Florida:429920,8:Clemson:429922,5:Vanderbilt:429924,4:Nebraska:429926,6:North Carolina:429928,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,8:Georgia:429938,5:Texas Tech:429940,4:Alabama:429942,6:Tennessee:429944,3:Virginia:429946,7:Kentucky:429948,2:Iowa State:429950,1:Arizona:429952,8:Villanova:429954,5:Wisconsin:429956,4:Arkansas:429958,6:BYU:429960,3:Gonzaga:429962,7:Miami (FL):429964,2:Purdue:429966,DUKE / OSU,SJU / KU,LOU / MSU,UCLA / CONN,FLA / CLEM,VAN / NEB,UNC / ILL,SMC / HOU,MICH / UGA,TTU / ALA,TENN / UVA,UK / ISU,ARIZ / VILL,WIS / ARK,BYU / GONZ,MIA / PUR,DUKE / OSU / SJU / KU,LOU / MSU / UCLA / CONN,FLA / CLEM / VAN / NEB,UNC / ILL / SMC / HOU,MICH / UGA / TTU / ALA,TENN / UVA / UK / ISU,ARIZ / VILL / WIS / ARK,BYU / GONZ / MIA / PUR,DUKE / OSU / SJU / KU / LOU / MSU / UCLA / CONN,FLA / CLEM / VAN / NEB / UNC / ILL / SMC / HOU,MICH / UGA / TTU / ALA / TENN / UVA / UK / ISU,ARIZ / VILL / WIS / ARK / BYU / GONZ / MIA / PUR,DUKE / KU / MSU / CONN / FLA / NEB / ILL / HOU,MICH / ALA / UVA / ISU / ARIZ / ARK / GONZ / PUR,DUKE / KU / MSU / CONN / FLA / NEB / ILL / HOU / MICH / ALA / UVA / ISU / ARIZ / ARK / GONZ / PUR
low_seed_r64,13132,16:Siena:429903,9:TCU:429905,12:Northern Iowa:429907,13:California Baptist:429909,11:South Florida:429911,14:North Dakota State:429913,10:UCF:429915,15:Furman:429917,16:PV / LEH:429919,9:Iowa:429921,12:McNeese:429923,13:Troy:429925,11:VCU:429927,14:Penn:429929,10:Texas A&M:429931,15:Idaho:429933,16:Howard:429935,9:Saint Louis:429937,12:Akron:429939,13:Hofstra:429941,11:M-OH / SMU:429943,14:Wright State:429945,10:Santa Clara:429947,15:Tennessee State:429949,16:LIU:429951,9:Utah State:429953,12:High Point:429955,13:Hawai'i:429957,11:Texas:429959,14:Kennesaw State:429961,10:Missouri:429963,15:Queens University:429965,TCU,,USF,UCF,IOWA,,VCU,TXAM,SLU,,M-OH,SCU,USU,,TEX,MIZZ,TCU,USF / UCF,IOWA,VCU / TXAM,SLU,M-OH / SCU,USU,TEX / MIZZ,,,,,,,
