PLAYERID,PLAYER,PARTNERID,POS,TEAM,OPP,TEAMNAME,STATUS,SPREAD,O/U,TOTAL,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,UD,PP,FPTS,RANGE,FLOOR,CEIL,POWN,SCHEDULE_ID,CORE_ID,CORETEAMID,REFID,OWNERSHIP
1342918,"Sam Alamutu",1342918,G,WRIGH,UVA,"Wright State",ACTIVE,-17.5,146.5,64.5,4.5,0.69,0.8,0.31,0.03,0.2,0.3,0.04,1,1.49,1.8,0.34,1.11,2.93,2.93,2.74,5M,0,7.69,0.0001,12051110,180156,5580,1,
1607392,"Jordan Mueller",1607392,G,CALBA,KU,"California Baptist",ACTIVE,-14.5,141.5,63.5,12,1.95,0.76,1.07,0.47,0.87,0.41,0.11,3.02,2.71,3.78,0.52,1.83,5.17,5.17,5.35,14M,0.68,10.02,0,12051000,663919,5442,2,35
1590649,"Omer Mayer",1590649,G,PUR,QUEEN,Purdue,ACTIVE,25.5,159.5,92.5,14.5,6.64,1.04,0.86,1.25,0.94,0.32,0.01,7.5,7.68,8.54,0.33,1.9,9.23,9.23,10.05,16M,2.17,17.93,0,12051070,652093,5517,4,35
1593927,"Max Ndlovu-Fraser",1593927,G,LIU,ARIZ,"Long Island University",ACTIVE,-30.5,147.5,58.5,3,0.48,0.26,0.21,0.09,0.19,0.12,0.01,0.69,0.74,0.95,0.13,0.47,1.32,1.32,1.34,5M,0,3.76,0,12051120,655271,5345,5,35
1594906,"Malachi Moreno",1594906,C,UK,STC,Kentucky,ACTIVE,3.5,157.5,80.5,22,6.85,6.14,1.74,0.01,1.65,0.39,1.44,8.59,12.99,14.73,1.83,7.88,20.67,20.67,20.03,24M,20.03,20.03,0,12051140,652105,5445,6,35
1408161,"LeJuan Watts",1408161,F,TTU,AKR,"Texas Tech",ACTIVE,6.5,154.5,80.5,25,11.01,5.93,1.96,0.68,2.61,0.87,0.16,12.97,16.94,18.9,1.03,7.89,21.57,21.57,22.54,26M,11.48,33.6,0,12051080,245748,5560,11,35
1617184,"Noam Dovrat",1617184,G,MIA,MIZZ,"Miami (FL)",ACTIVE,1.5,145.5,73.5,10,3.92,0.63,0.91,1.1,0.46,0.34,0.02,4.83,4.55,5.46,0.36,1.54,6.66,6.66,7.11,12M,0.34,13.88,0,12051130,659182,8393,12,35
1607394,"Nathaniel Garcia",1607394,C,CALBA,KU,"California Baptist",ACTIVE,-14.5,141.5,63.5,1,0.34,0.21,0.03,0,0.07,0.02,0.02,0.37,0.55,0.58,0.04,0.24,0.71,0.71,0.7,5M,0.7,0.7,0,12051000,652027,5442,13,35
1590618,"Amari Allen",1590618,F,BAMA,HOF,Alabama,ACTIVE,11.5,158.5,85,26,10.73,5.79,2.45,1.43,1.3,0.81,0.45,13.18,16.52,18.97,1.26,8.24,23.84,23.84,24.29,28M,12.95,35.63,0,12051090,622996,5342,14,35
1408184,"Efrem Johnson",1408184,G,CLEM,IOWA,Clemson,ACTIVE,1.5,131.5,65,31,8.98,3.26,1.48,1.56,1.19,0.87,0.26,10.46,12.24,13.72,1.13,4.74,17.31,17.31,17.72,32M,9.93,25.51,0,12051200,,5374,16,35
