PLAYERID,PLAYER,PARTNERID,POS,TEAM,OPP,TEAMNAME,STATUS,SPREAD,O/U,TOTAL,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,UD,PP,FPTS,RANGE,FLOOR,CEIL,POWN,SCHEDULE_ID,CORE_ID,CORETEAMID,REFID,OWNERSHIP
1469696,"Mason Williams",1469696,G,ISU,UK,"Iowa State","O(Hip - 01/10/2026)",4.5,145.5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12089190,288957,5438,322,35
1459577,"Silas Demary",1459577,G,UCONN,UCLA,Connecticut,ACTIVE,4.5,136.5,70.5,28,9.01,4.11,4.87,0.91,2.38,1.28,0.17,13.88,13.12,17.99,1.45,8.98,23.23,23.23,23.66,30M,12.85,34.47,0,12090740,289027,5381,323,35
1401398,"Tyeree Bryan",1401398,G,TTU,BAMA,"Texas Tech",ACTIVE,-1.5,164.5,83,18,3.17,2.89,0.74,0.57,0.2,0.77,0.12,3.91,6.06,6.8,0.89,3.63,10.22,10.22,9.85,20M,3.37,16.33,0,12089180,246466,5342,324,35
1610167,"Koa Peat",1610167,F,ARIZ,UTST,Arizona,ACTIVE,11.5,154.5,83,28,13.03,5.17,2.56,0.33,2.11,0.64,0.81,15.59,18.2,20.76,1.45,7.73,25.34,25.34,25.4,30M,14.21,36.59,0,12089240,652126,5345,325,35
1404016,"Jayden Dawson",1404016,G,KU,STJN,Kansas,ACTIVE,3.5,144.5,70.5,1,0.2,0.08,0.06,0.05,0.03,0.03,0.01,0.26,0.28,0.34,0.04,0.14,0.45,0.45,0.46,5M,0,1.29,0,12090720,245606,5442,326,35
1460182,"JT Toppin",1460182,F,TTU,BAMA,"Texas Tech","O(ACL - 02/20/2026)",-1.5,164.5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12089180,288936,5342,327,35
1532771,"Bennett Stirtz",1532771,G,IOWA,UF,Iowa,ACTIVE,-10.5,145.5,67.5,39.5,18.9,3.45,4.06,1.93,2.19,1.54,0.49,22.96,22.35,26.41,2.03,7.51,33.02,33.02,33.24,40M,20.96,45.52,0,12090690,505528,5407,328,35
1458730,"Tucker Anderson",1458730,F,UTST,ARIZ,"Utah State",ACTIVE,-11.5,154.5,71.5,1,0.27,0.13,0.05,0.05,0.03,0.03,0.02,0.32,0.4,0.45,0.05,0.18,0.63,0.63,0.62,5M,0,1.59,0,12089240,289170,5345,329,35
1589784,"Peyton McCollum",1589784,G,IOWA,UF,Iowa,"O(Undisclosed - 01/17/2026)",-10.5,145.5,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090690,652095,5407,330,35
1415830,"Dallin Hall",1415830,G,UVA,TENN,Virginia,ACTIVE,1.5,137.5,68,29,4.83,3.07,3.81,0.78,1.39,0.81,0.02,8.64,7.9,11.71,0.83,6.88,15.34,15.34,15.75,30M,8.56,22.94,0,12089250,246047,5580,331,35
