"Name","Team","Position","Salary","Minutes","DK Points","DK Own","DK Value","Slate"
"Rienk Mast","NEB","F","6300","33","26.51","12.28%","4.21","Saturday"
"Rylan Griffen","TA&amp;M","G","6300","28","20.04","1.52%","3.18","Saturday"
"Lazar Djokovic","VCU","F","6200","32","25.84","14.02%","4.17","Saturday"
"Tyon Grant-Foster","GONZ","G","6200","24","21.34","3.56%","3.44","Saturday"
"Kylan Boswell","IL","G","6100","31","23.29","7.13%","3.82","Saturday"
"Joseph Tugler","UH","F","6100","26","24.49","10.26%","4.01","Saturday"
"Andrej Stojakovic","IL","G","6000","20","16.42","0.16%","2.74","Saturday"
"Brock Harding","TCU","G","5900","29","17.41","0.22%","2.95","Saturday"
"Emmanuel Innocenti","GONZ","F","5900","33","19.65","2.01%","3.33","Saturday"
"Tomislav Ivisic","IL","F","5800","26","20.22","4.82%","3.49","Saturday"
"Tramon Mark","TEX","G","5800","34","25.97","16.62%","4.48","Saturday"
"Micah Robinson","TCU","F","5700","30","20.75","4.41%","3.64","Saturday"
"Jordan Pope","TEX","G","5700","33","22.10","7.28%","3.88","Saturday"
"Maliq Brown","DUKE","F","5600","26","22.20","9.17%","3.96","Saturday"
"Brandon Jennings","VCU","G","5600","29","22.20","7.42%","3.96","Saturday"
"Tyler Nickel","VAND","G/F","5500","32","21.82","15.11%","3.97","Saturday"
"Pop Isaacs","TA&amp;M","G","5500","23","15.63","0.09%","2.84","Saturday"
"Milos Uzan","UH","G","5500","33","21.75","6.72%","3.95","Saturday"
"Malique Ewin","ARK","F","5500","26","26.43","28.51%","4.80","Saturday"
"Jayden Pierre","TCU","G","5400","34","19.04","2.36%","3.53","Saturday"
"Devin McGlockton","VAND","F","5400","27","21.96","9.13%","4.07","Saturday"
"Cayden Boozer","DUKE","G","5300","38","25.08","21.30%","4.73","Saturday"
"Adrian Wooley","UL","G","5300","32","23.67","16.50%","4.47","Saturday"
"Emanuel Sharp","UH","G","5300","30","25.20","23.66%","4.75","Saturday"
"Mario Saint-Supery","GONZ","G","5300","29","27.19","26.34%","5.13","Saturday"
"AK Okereke","VAND","F","5200","31","20.69","8.49%","3.98","Saturday"
"Nyk Lewis","VCU","G","5200","29","19.38","2.99%","3.73","Saturday"
"Marcus Hill","TA&amp;M","G","5200","22","14.35","0.00%","2.76","Saturday"
"Dion Brown","STL","G","5200","24","17.78","2.29%","3.42","Saturday"
"Jalen Washington","VAND","F","5100","20","19.08","7.25%","3.74","Saturday"
"Michael Belle","VCU","G/F","5100","26","19.08","11.96%","3.74","Saturday"
"Jalen Warley","GONZ","G","5100","27","19.49","4.11%","3.82","Saturday"
"Quentin Jones","STL","G","5000","26","18.38","4.81%","3.68","Saturday"
"Isaac McKneely","UL","G","4900","34","20.10","8.85%","4.10","Saturday"
"Jamarques Lawrence","NEB","G","4900","30","19.49","8.11%","3.98","Saturday"
"Barry Evans","VCU","F","4900","24","15.30","1.16%","3.12","Saturday"
"Liutauras Lelevicius","TCU","G","4800","27","14.91","0.91%","3.11","Saturday"
"Braden Frager","NEB","F","4800","22","17.64","4.83%","3.67","Saturday"
"Kellen Thames","STL","G","4800","16","16.22","1.78%","3.38","Saturday"
"Dame Sarr","DUKE","G/F","4700","33","20.03","25.28%","4.26","Saturday"
"Sananda Fru","UL","F","4700","18","16.09","3.21%","3.42","Saturday"
"D.J. Wagner","ARK","G","4700","22","13.92","0.19%","2.96","Saturday"
"Jordan Scott","MSU","F","4600","26","17.82","7.11%","3.87","Saturday"
"Trey Green","STL","G","4600","26","19.79","11.10%","4.30","Saturday"
"Nikolas Khamenia","DUKE","G/F","4500","25","14.63","3.28%","3.25","Saturday"
"Zvonimir Ivisic","IL","F","4500","17","16.57","6.43%","3.68","Saturday"
"Scotty Washington","HIGHP","G","4500","18","13.12","0.43%","2.92","Saturday"
"Tanner Toolson","TCU","G","4400","20","12.43","0.16%","2.82","Saturday"
"Berke Buyuktuncel","NEB","F","4400","23","17.27","9.31%","3.93","Saturday"
"Ruben Dominguez","TA&amp;M","G","4300","20","12.34","0.56%","2.87","Saturday"
"Ishan Sharma","STL","F","4300","25","16.43","7.88%","3.82","Saturday"
"Ben Humrichous","IL","F","4200","20","12.16","0.62%","2.90","Saturday"
"Tyrell Ward","VCU","G","4200","12","8.00","0.00%","1.90","Saturday"
"Kur Teng","MSU","G","4100","18","12.66","0.61%","3.09","Saturday"
"Zach Clemence","TA&amp;M","F","4100","21","15.04","6.46%","3.67","Saturday"
"Adam Miller","GONZ","G","4100","18","10.05","0.00%","2.45","Saturday"
"Conrad Martinez","HIGHP","G","4000","12","8.75","0.00%","2.19","Saturday"
"Nic Codie","TEX","F","4000","13","7.40","0.00%","1.85","Saturday"
"Braden Hausen","HIGHP","F","3900","16","10.62","0.26%","2.72","Saturday"
"Braeden Smith","GONZ","G","3900","6","4.42","0.00%","1.13","Saturday"
"Trey McKenney","MICH","G","3900","23","16.42","9.84%","4.21","Saturday"
"Cam Ward","MSU","F","3800","14","10.51","0.46%","2.76","Saturday"
"Cale Jacobsen","NEB","G","3800","16","9.61","0.03%","2.53","Saturday"
"Jadrian Tracey","VCU","G","3800","17","13.10","1.68%","3.45","Saturday"
"Ali Dibba","TA&amp;M","G","3800","23","15.27","8.18%","4.02","Saturday"
"Mercy Miller","UH","G","3800","20","15.92","11.48%","4.19","Saturday"
"Chase Johnston","HIGHP","G","3800","20","14.06","4.45%","3.70","Saturday"
"Jake Davis","IL","F","3700","16","8.71","0.09%","2.35","Saturday"
"Jacari Lane","TA&amp;M","G","3700","12","6.90","0.00%","1.86","Saturday"
"Khani Rooths","UL","F","3600","10","7.88","0.00%","2.19","Saturday"
"Chendall Weaver","TEX","G","3600","20","11.24","0.59%","3.12","Saturday"
"Nimari Burnett","MICH","G","3600","22","16.76","16.15%","4.66","Saturday"
"Kobe Rodgers","UL","G","3500","15","10.11","0.80%","2.89","Saturday"
"Camden Heide","TEX","F","3500","20","9.47","0.29%","2.71","Saturday"
"Nick Pringle","ARK","F","3400","6","3.71","0.00%","1.09","Saturday"
"Roddy Gayle Jr.","MICH","G","3400","20","14.68","11.46%","4.32","Saturday"
"Trey Fort","MSU","G","3300","8","5.00","0.00%","1.52","Saturday"
"Chandler Bing","VAND","G/F","3300","20","8.92","0.73%","2.70","Saturday"
"Chase McCarty","UH","F","3300","14","10.55","2.68%","3.20","Saturday"
"Paul Otieno","STL","F","3300","11","8.57","0.61%","2.60","Saturday"
"Aly Khalifa","UL","F","3200","9","7.43","0.31%","2.32","Saturday"
"Kalifa Sakho","UH","F","3200","11","6.41","0.09%","2.00","Saturday"
"Isaiah Sealy","ARK","G/F","3200","3","2.63","0.00%","0.82","Saturday"
"Simeon Wilcher","TEX","G","3200","11","6.56","0.03%","2.05","Saturday"
"Vangelis Zougris","UL","F","3100","11","7.55","0.16%","2.44","Saturday"
"Jared Garcia","NEB","F","3100","3","2.66","0.00%","0.86","Saturday"
"Josh Holloway","TA&amp;M","G","3100","12","7.23","0.31%","2.33","Saturday"
"Brady Dunlap","STL","F","3100","14","8.46","0.83%","2.73","Saturday"
"Will Tschetter","MICH","F","3100","13","7.15","0.06%","2.31","Saturday"
"Vianney Salatchoum","TCU","F","3000","1","0.54","0.00%","0.18","Saturday"
"Darren Harris","DUKE","G/F","3000","8","4.73","0.00%","1.58","Saturday"
"Jesse McCulloch","MSU","F","3000","1","0.70","0.00%","0.23","Saturday"
"Denham Wojcik","MSU","G","3000","7","3.39","0.00%","1.13","Saturday"
"Jamie Vinson","TA&amp;M","F","3000","6","6.27","0.03%","2.09","Saturday"
"Federiko Federiko","TA&amp;M","F","3000","2","1.29","0.00%","0.43","Saturday"
"Isiah Harwell","UH","G","3000","3","1.91","0.00%","0.64","Saturday"
"Youssouf Singare","HIGHP","F","3000","8","4.74","0.00%","1.58","Saturday"
"Ismaila Diagne","GONZ","F","3000","2","1.41","0.00%","0.47","Saturday"
