"Name","Team","Position","Salary","Minutes","DK Points","DK Own","DK Value","Slate"
"Cameron Boozer","DUKE","F","11000","38","48.63","15.14%","4.42","Saturday"
"Darius Acuff Jr.","ARK","G","9800","37","42.07","13.13%","4.29","Saturday"
"Graham Ike","GONZ","F","9700","36","37.46","6.26%","3.86","Saturday"
"Dailyn Swain","TEX","G/F","9400","37","35.98","10.16%","3.83","Saturday"
"Jeremy Fears Jr.","MSU","G","9200","36","36.83","9.86%","4.00","Saturday"
"Tyler Tanner","VAND","G","9000","37","35.84","8.34%","3.98","Saturday"
"Pryce Sandfort","NEB","F","8800","38","33.00","5.64%","3.75","Saturday"
"Terry Anderson","HIGHP","F","8800","33","30.75","2.74%","3.49","Saturday"
"Keaton Wagler","IL","G","8500","36","33.55","7.30%","3.95","Saturday"
"Yaxel Lendeborg","MICH","F","8500","33","36.31","15.47%","4.27","Saturday"
"Ryan Conwell","UL","G","8400","37","34.74","12.62%","4.14","Saturday"
"Rashaun Agee","TA&amp;M","F","8400","31","31.89","6.11%","3.80","Saturday"
"David Mirkovic","IL","F","8200","34","29.59","4.74%","3.61","Saturday"
"Kingston Flemings","UH","G","8200","35","35.85","16.30%","4.37","Saturday"
"Duke Miles","VAND","G","8100","33","33.62","10.02%","4.15","Saturday"
"Trevon Brazile","ARK","F","8100","35","32.91","11.38%","4.06","Saturday"
"Jaxon Kohler","MSU","F","8000","30","29.12","5.03%","3.64","Saturday"
"David Punch","TCU","F","7900","32","27.73","3.29%","3.51","Saturday"
"Rob Martin","HIGHP","G","7600","34","28.36","5.64%","3.73","Saturday"
"Robbie Avila","STL","F","7600","31","27.21","3.70%","3.58","Saturday"
"Meleek Thomas","ARK","G","7500","36","30.77","10.33%","4.10","Saturday"
"Isaiah Evans","DUKE","G/F","7400","32","26.80","8.23%","3.62","Saturday"
"Aday Mara","MICH","F","7400","27","31.51","14.10%","4.26","Saturday"
"Billy Richmond III","ARK","G/F","7300","35","28.23","15.06%","3.87","Saturday"
"Matas Vokietaitis","TEX","F","7300","32","25.76","4.32%","3.53","Saturday"
"Owen Aquino","HIGHP","F","7200","33","30.75","15.43%","4.27","Saturday"
"Morez Johnson Jr.","MICH","F","7100","28","30.54","13.91%","4.30","Saturday"
"Carson Cooper","MSU","F","6900","29","25.41","3.43%","3.68","Saturday"
"J'Vonne Hadley","UL","G","6900","34","25.58","5.64%","3.71","Saturday"
"Xavier Edmonds","TCU","F","6800","27","27.65","10.11%","4.07","Saturday"
"Terrence Hill Jr.","VCU","G","6800","31","26.22","7.00%","3.86","Saturday"
"Sam Hoiberg","NEB","G","6700","35","26.39","7.57%","3.94","Saturday"
"Chris Cenac Jr.","UH","F","6600","28","24.65","6.17%","3.74","Saturday"
"Davis Fogle","GONZ","G","6600","25","20.56","0.79%","3.12","Saturday"
"Cam'Ron Fletcher","HIGHP","F","6500","26","25.94","9.97%","3.99","Saturday"
"Amari McCottry","STL","G","6500","27","23.08","2.98%","3.55","Saturday"
"Coen Carr","MSU","F","6400","31","22.27","2.51%","3.48","Saturday"
"Elliot Cadeau","MICH","G","6400","34","28.79","17.24%","4.50","Saturday"
