"Name","Team","Position","Salary","Minutes","DK Points","DK Own","DK Value","Slate"
"Alec Millender","UCONN","G","3000","6","3.11","0.00%","1.04","Sunday"
"Jamar Brown","UCLA","G","3000","4","2.28","0.00%","0.76","Sunday"
"Brendan Hausen","IOWA","G","3000","1","0.60","0.00%","0.20","Sunday"
"Salih Altuntas","MIA","F","3000","1","0.57","0.00%","0.19","Sunday"
"Gicarri Harris","PUR","G","3000","12","6.56","0.00%","2.19","Sunday"
"Marial Akuentok","TTU","F","3000","2","1.41","0.00%","0.47","Sunday"
"Noah Williamson","BAMA","F","3000","4","2.00","0.00%","0.67","Sunday"
"Nolan Groves","TTU","G","3000","1","0.62","0.00%","0.21","Sunday"
"Leon Horner","TTU","G","3000","1","0.77","0.00%","0.26","Sunday"
"Eric Mulder","ISU","F","3000","2","2.03","0.00%","0.68","Sunday"
"Cade Kelderman","ISU","G","3000","2","1.61","0.00%","0.54","Sunday"
"Dominick Nelson","ISU","G","3000","13","9.99","1.26%","3.33","Sunday"
"Jasper Johnson","UK","G","3000","2","1.27","0.00%","0.42","Sunday"
